ProductName,Nutrient_category,Description,Contents,Formulated_For,Suplements Facts,Suplements Facts Images,Product_Image,QR_Video,FORMULATION ADVANTAGE:,Amino Acid Profile Per Serving,Benefits,Pdf_link,HealthConcern,Introduction,Risk Factors,Blood Pressure Classification,Nitric Oxide & Blood Pressure,Lifestyle Recommendations,Nutrient Recommendations,Signs & Symptoms,Insulin Resistance & PCOS,Causes,Autonomic Nervous System & Responses,Common Prescriptions,Nutrient Depletions,Sources of Nutrients
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1iFbPJUns00-Zf5s--HbXIh3NdqVbEUlU/view,Hypertension,"High blood pressure (hypertension) is a leading risk factor for heart diseases such as stroke and heart attack. Often asymptomatic, it is known as 'The Silent Killer'. Managing hypertension involves optimizing nitric oxide levels and reducing stress.","Smoking, Alcohol Consumption, Obesity, Poor Diet (High sodium, saturated fat), Chronic Kidney Dysfunction, Hormone Imbalances, Chronic Stress, Aging, Race (higher risk in Black individuals).","Normal BP: <120/<80, Elevated BP: 120-129/<80, Stage 1 Hypertension: 130-139/80-89, Stage 2 Hypertension: ≥140/≥90, Hypertensive Crisis: >180/>120.","Nitric oxide plays a key role in vasodilation, which improves blood flow and blood pressure regulation. It is produced from L-arginine and L-citrulline, and starts in the mouth via the oral microbiome.","Quit Smoking, Avoid Antiseptic Mouthwash, Practice Nose Breathing, Manage Stress (Walking, Deep Breathing), Exercise Daily, Increase Plant-Based Foods (Beets, Garlic, Leafy Greens).","Omega-3 Fatty Acids (1-4g/day), L-Citrulline (3-6g/day), Hibiscus, Lemon Verbena, Green Coffee Bean, Fucoidan, Magnesium.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1WHdrHnmB1SazM7p8ylFGfyXJBowBl_Xl/view,PCOS,"Polycystic Ovary Syndrome (PCOS) is a hormonal disorder where the ovaries produce an abnormal amount of androgens. It affects menstrual cycles and fertility. Insulin resistance is a major trigger, and lifestyle changes can help manage it.","Chronic Stress, Poor Diet, Genetic Factors, High Sugar Intake, Environmental Toxins, Obesity.",Unknown,Unknown,"Limit Toxins (Avoid BPA, PFAs, Phthalates), Balanced Diet (High Protein, High Fiber, Low Sugar), Sleep (7-8 hours), Regular Exercise (30-60 min/day).","Vitamin D (5,000 IU/day), Melatonin (2 mg/day), Turmeric (1-2 g/day), Berberine (1 g/day), Omega-3 Fatty Acids (1-4 g/day).","Irregular periods, Hair thinning, Excess body hair, Acne, Infertility, Low-grade inflammation, Fatigue.","Insulin resistance causes glucose to stay in the blood instead of being used as fuel. This leads to high insulin levels, triggering excess testosterone production, inflammation, and ovarian cysts.",Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/15r2crHlCjQ1iUNIvdatjrBXvcPwDl0Mr/view,Insulin Resistance,"Insulin is made by the pancreas and is critical to maintaining healthy blood sugar levels. Insulin resistance occurs when cells do not respond properly to insulin, leading to high blood sugar levels.","Sugar/High Processed Food Intake, Inactivity, Dietary Deficiencies, Elevated Uric Acid, Chronic Stress, Obesity, Environmental Factors",Unknown,Unknown,"Reduce stress (deep breathing, meditation, sleep habits), Low-Glycemic Mediterranean Diet, Physical Activity (20+ min, 3-5 days/week)","Alpha Lipoic Acid (200-600 mg/day), Berberine, Vanadyl Sulfate, Chromium (400-800 mcg/day)","Sugar Cravings, Fatigue, Elevated Triglycerides, Abdominal Weight Gain, Continuous Hunger, Difficulty Losing Weight",PCOS/Hormone Imbalances,"Sugar/High Processed Food Intake, Inactivity, Dietary Deficiencies, Elevated Uric Acid, Chronic Stress, Obesity, Environmental Factors",Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1XfFXsrOb5v_2EvQGTJ24yh9hFrqzPEBh/view,Non-Alcoholic Fatty Liver Disease (NAFLD),NAFLD is the buildup of extra fat within liver cells not caused by alcohol. It affects about one in three adults.,"Obesity, Insulin Resistance, High Cholesterol, PCOS, Excessive Sugar Intake, Metabolic Syndrome, Genetic Factors, Hypertension.",Not explicitly mentioned in the document.,Not explicitly mentioned in the document.,"Limit Alcohol, Fasting (12-14 hours), Balanced Diet, Exercise including walking after meals.","Berberine (1g/day), Bergamot & Artichoke (250mg/day), Aged Black Garlic, Alpha Lipoic Acid (300-600mg/day).",Not explicitly mentioned in the document.,NAFLD is a common manifestation of insulin resistance and is associated with PCOS.,"Mitochondrial Dysfunction, Gut-derived Endotoxin, Inflammatory Cytokines, Oxidative Stress.",Unknown,Unknown,Unknown,NAFLD progression can lead to NASH and Cirrhosis if untreated.
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/153uXJZuBalcRhFpUKnnvXEW9oP5yWUKA/view,Atherosclerosis,"Atherosclerosis, or hardening of the arteries, is an inflammatory-associated condition and the primary cause of cardiovascular disease. Modifiable lifestyle factors, such as stress, smoking, diet, exercise, and toxic burden, affect the inflammatory burden and the speed at which atherosclerosis progresses. Supporting the health of the delicate endothelial layer of the arterial wall, or the glycocalyx, is key to reducing arterial inflammation, improving vascular circulation and helping to lower cardiovascular disease risk.",Smoking; Sedentary lifestyle; Chronic stress; Genetic factors; Poor diet: High sodium and saturated fat; High blood pressure; Blood sugar dysregulation,Unknown,Unknown,"Daily Physical Activity: Continuous movement throughout the day, >20-minute, moderate- to high-intensity exercise sessions at least three to five days per week; Plant-Based Mediterranean Diet: Limit sugar, Colorful, diverse fruits and vegetables daily, Lean protein, Manage portion size; Stress Management: Commit to a plan, Practice deep breathing and meditation, Practice good sleep habits, Take at least one 10-minute walk each day; Environmental Factors: Avoid harsh cleaners and detergents, Practice good hygiene, Choose organic food whenever possible, Use a HEPA air filter at home","Omega-3 Fatty Acids: Helps reduce blood pressure, triglycerides and inflammation that drive atherosclerosis; Bergamot: Significantly reduces cholesterol levels and improves cholesterol profile (total, LDL, HDL and triglycerides); also reduces fat accumulation in the liver and helps with lipid clearance; Coenzyme Q10: A critical coenzyme for energy production and cardiac function that is depleted by statin medications; Fucoidan: Bioactive compounds that help to preserve, protect and regenerate the protective layer of the blood vessel from high blood pressure and high cholesterol.","Blood sugar dysregulation; High blood pressure; Oxidative stress; Inflammation (ESR, hsCRP); Uric acid",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1D0kfyfT5Sv7T6epGdlWbcViU3zD-8Uyq/view,Dysautonomia,"Dysautonomia is a disorder where the autonomic nervous system (ANS) malfunctions, affecting functions like heart rate, blood pressure, digestion, and temperature control. It often involves an imbalance between the parasympathetic (rest-and-digest) and sympathetic (fight-or-flight) systems.",Unknown,Unknown,Unknown,"Increase Dietary Fiber, Increase Salt & Water Intake, Improve Vagal Tone (Humming, Singing, Meditation, Cold Water Therapy), Eat Frequent Small Meals, Personalized Movement Plan.","Omega-3 Fatty Acids (1-4g/day), Phosphatidylcholine (5-10g/day), Mitochondrial Support (NAC: 600mg, ALC: 500mg, ALA: 200mg, GSH: 500mg), Vascular Support (Diosmin: 600mg, Troxerutin: 500mg, Gotu Kola: 200mg, Horse Chestnut Extract: 300mg), Probiotics + Saccharomyces boulardii (20-450 billion CFU, 2-10 billion CFU).","Dizziness, Unstable blood pressure & heart rate, Digestive complaints, Fatigue, Poor circulation, Brain fog, Headaches, Blotchy skin, Tingling fingers & toes.",Unknown,"Severe stress, Trauma, Extreme hormone fluctuations, Stroke, Post-viral infection, Vagus nerve imbalance.","The autonomic nervous system has two branches: Parasympathetic (rest and digest, anti-inflammatory) and Sympathetic (fight or flight, pro-inflammatory). Imbalance in these systems leads to various symptoms.",Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1FSfBVj93qGriotRSf3Tqh8uFJH9rM8jY/view,"Heart failure, Irregular heartbeat",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Cardiac glycosides (Lanoxicaps, Lanoxin, Crystodigin)","Calcium, Magnesium, Phosphate, Thiamine","Green leafy vegetables, Red meat, Seafood, Nutritional supplements"
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1FSfBVj93qGriotRSf3Tqh8uFJH9rM8jY/view,"Blood pressure, Anxiety, Abnormal heart rhythm",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Beta blockers (Tenormin, Cardicor, Betaloc, Lopresor)","CoQ10, Melatonin, Magnesium, Phosphate, Potassium, Sodium, Zinc","Salmon/tuna, Organ meat, Pistachios, Nutritional supplements"
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1FSfBVj93qGriotRSf3Tqh8uFJH9rM8jY/view,Blood pressure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Thiazide diuretics (chlorothiazide, chlorthalidone, hydrochlorothiazide, indapamide)","Calcium, Magnesium, Potassium, Pyridoxine, Sodium, Thiamine, Vitamin C, Zinc","Salmon/tuna, Organ meat, Oysters, Green leafy vegetables, Nutritional supplements"
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1FSfBVj93qGriotRSf3Tqh8uFJH9rM8jY/view,"Blood pressure, Edema",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Loop diuretics (furosemide, bumetanide, torsemide)","Sodium, Zinc","Green leafy vegetables, Citrus fruit, Oysters, Nutritional supplements"
